Battle_title,Battle_url,Sup_1_Character,Sup_1_Name,Sup_1_Universe,Sup_2_Character,Sup_2_Name,Sup_2_Universe,Superhero_1_win,Superhero_2_win,Draw
Superman vs Thor,https://www.superherodb.com/90-103/,Superman,Kal-El,Prime Earth,Thor,Thor Odinson,Earth-616,46.0,51.6,2.4000000000000057
Thing vs Colossus,https://www.superherodb.com/90-8/,Thing,Ben Grimm,Earth-616,Colossus,Peter Rasputin,Earth-616,44.3,52.9,2.8000000000000114
Skaar vs The Flash,https://www.superherodb.com/90-9/,Skaar,Skaar,Earth-616,The Flash,Jay Garrick,Prime Earth,30.0,60.0,10.0
Abomination vs Darth Sidious,https://www.superherodb.com/90-518547/,Abomination,Emil Blonsky,Earth-616,Darth Sidious,Sheev Palpatine,Star Wars,50.0,50.0,0.0
Dazzler vs  Daywing,https://www.superherodb.com/90-231336/,Dazzler,Alison Blaire,Earth-616, Daywing,Gray Dickson,,10.5,89.5,0.0
Judge Dredd vs T-800,https://www.superherodb.com/90-84328/,Judge Dredd,Joseph Dredd,JD,T-800,Cyberdyne Systems Series 800 Terminator Model 101,Terminator,5.3,94.7,0.0
Nightwing vs Bizarro-Girl,https://www.superherodb.com/90-27187/,Nightwing,Dick Grayson,Prime Earth,Bizarro-Girl,,Prime Earth,16.7,66.7,16.599999999999994
Chucky vs Kevin McCallister,https://www.superherodb.com/90-466677/,Chucky,Charles Lee Ray,,Kevin McCallister,Kevin McCallister,,87.5,12.5,0.0
Scarlet Witch vs Harry Potter,https://www.superherodb.com/90-123586/,Scarlet Witch,Wanda Maximoff,Earth-616,Harry Potter,Harry Potter,Wizarding World,94.1,5.9,0.0
Lara Croft vs Katniss Everdeen,https://www.superherodb.com/90-5086/,Lara Croft,Lara Croft,,Katniss Everdeen,Katniss Everdeen,Hunger Games,78.1,15.6,6.300000000000011
Rhino vs Luke Cage,https://www.superherodb.com/90-14497/,Rhino,Aleksei Sytsevich,Earth-616,Luke Cage,Luke Cage,Earth-616,50.0,46.2,3.799999999999997
Reverse Flash vs The Joker,https://www.superherodb.com/90-16638/,Reverse Flash,Eobard Thawne,Prime Earth,The Joker,,Prime Earth,93.3,6.7,0.0
Doctor Strange (Classic) vs Mister Sinister,https://www.superherodb.com/90-37919/,Doctor Strange (Classic),Stephen Strange,Earth-616,Mister Sinister,Nathaniel Essex,Earth-616,89.5,10.5,0.0
Darkseid vs Phoenix,https://www.superherodb.com/90-2035/,Darkseid,Uxas,Prime Earth,Phoenix,Jean Grey,Earth-616,8.9,91.1,0.0
Power Girl vs Robin Nico,https://www.superherodb.com/90-726966/,Power Girl,Kara Zor-L,Prime Earth,Robin Nico,,OP,100.0,0.0,0.0
King Kong vs Cloverfield (Adult),https://www.superherodb.com/90-571163/,King Kong,King Kong,,Cloverfield (Adult),Clover,,27.3,72.7,0.0
Boba Fett vs Sarlacc,https://www.superherodb.com/90-547363/,Boba Fett,Boba Fett,Star Wars,Sarlacc,Sarlacc,Star Wars,75.0,25.0,0.0
Bolt vs Bolt,https://www.superherodb.com/90-523993/,Bolt,Bolt,,Bolt,Chris Bradley,,50.0,50.0,0.0
Link vs Jason Voorhees,https://www.superherodb.com/90-522956/,Link,Link,Zelda,Jason Voorhees,,MK,100.0,0.0,0.0
Grogu vs Papa Smurf,https://www.superherodb.com/90-522634/,Grogu,,Star Wars,Papa Smurf,,Peyo,14.3,85.7,0.0
Grogu vs Gizmo,https://www.superherodb.com/90-515928/,Grogu,,Star Wars,Gizmo,Gizmo,,100.0,0.0,0.0
Balrog vs Muhammad Ali,https://www.superherodb.com/90-513783/,Balrog,Mike Bison,Street Fighter,Muhammad Ali,,Prime Earth,9.1,90.9,0.0
Paul Blart vs Jack Sparrow,https://www.superherodb.com/90-513759/,Paul Blart,Paul Blart,,Jack Sparrow,,PoC,0.0,100.0,0.0
Paul Blart vs Borat,https://www.superherodb.com/90-504886/,Paul Blart,Paul Blart,,Borat,Borat Sagdiyev,,12.5,87.5,0.0
Thor vs Superwoman,https://www.superherodb.com/90-456855/,Thor,Jane Foster,Earth-616,Superwoman,Lois Lane,Earth 3,22.2,77.8,0.0
Doctor Doom vs Cyclops (Phoenix Force),https://www.superherodb.com/90-454099/,Doctor Doom,Victor Von Doom,Earth-616,Cyclops (Phoenix Force),Scott Summers,,0.0,100.0,0.0
Godzilla vs Cloverfield (Adult),https://www.superherodb.com/90-571162/,Godzilla,Gojira,MonsterVerse,Cloverfield (Adult),Clover,,100.0,0.0,0.0
Power Girl vs Robin Nico,https://www.superherodb.com/90-726966/,Power Girl,Kara Zor-L,Prime Earth,Robin Nico,,OP,100.0,0.0,0.0
King Kong vs Cloverfield (Adult),https://www.superherodb.com/90-571163/,King Kong,King Kong,,Cloverfield (Adult),Clover,,27.3,72.7,0.0
Godzilla vs Cloverfield (Adult),https://www.superherodb.com/90-571162/,Godzilla,Gojira,MonsterVerse,Cloverfield (Adult),Clover,,100.0,0.0,0.0
Carnage vs Venompool,https://www.superherodb.com/90-83258/,Carnage,Cletus Kasady,Earth-616,Venompool,Wade Wilson,Earth-616,8.1,89.2,2.700000000000003
Iron Man vs Blue Beetle II,https://www.superherodb.com/90-52042/,Iron Man,Tony Stark,Earth-616,Blue Beetle II,Theodore Kord,Prime Earth,70.0,30.0,0.0
Doctor Doom vs Swamp Thing,https://www.superherodb.com/90-22350/,Doctor Doom,Victor Von Doom,Earth-616,Swamp Thing,Alec Holland,Prime Earth,36.4,63.6,0.0
Human Torch vs Olaf,https://www.superherodb.com/90-716348/,Human Torch,Johnny Storm,Earth-616,Olaf,,Frozen,88.9,11.1,0.0
Predator vs Spock,https://www.superherodb.com/90-182925/,Predator,Yautja,Alien,Spock,S'chn T'gai Spock,Star Trek,100.0,0.0,0.0
C-3PO vs Data,https://www.superherodb.com/90-124076/,C-3PO,,Star Wars,Data,Data,Star Trek,0.0,100.0,0.0
R2-D2 vs Jar Jar Binks,https://www.superherodb.com/90-58612/,R2-D2,,Star Wars,Jar Jar Binks,Jar Jar Binks,Star Wars,76.5,23.5,0.0
Shadowcat vs Harley Quinn,https://www.superherodb.com/90-15624/,Shadowcat,Kitty Pryde,Earth-616,Harley Quinn,Harleen Quinzel,Prime Earth,100.0,0.0,0.0
 Star Storms (Earth Prime) vs  Daywing (Fabulous Form),https://www.superherodb.com/90-452233/, Star Storms (Earth Prime),Stan Briggs,, Daywing (Fabulous Form),Gray Dickson,,0.0,100.0,0.0
Lara Croft vs Ellie,https://www.superherodb.com/90-398590/,Lara Croft,Lara Croft,,Ellie,,The Last Of Us,100.0,0.0,0.0
 Princess Aqua vs  Daywing,https://www.superherodb.com/90-233738/, Princess Aqua,Sam Smith,, Daywing,Gray Dickson,,100.0,0.0,0.0
The Joker vs  Daywing,https://www.superherodb.com/90-231732/,The Joker,,Prime Earth, Daywing,Gray Dickson,,10.0,90.0,0.0
Spider-Man vs  Daywing,https://www.superherodb.com/90-231505/,Spider-Man,Peter Parker,Earth-616, Daywing,Gray Dickson,,8.3,91.7,0.0
Doomsday vs Plastic Man,https://www.superherodb.com/90-53259/,Doomsday,Doomsday,Prime Earth,Plastic Man,Patrick O'Brian,Prime Earth,100.0,0.0,0.0
Power Girl vs Robin Nico,https://www.superherodb.com/90-726966/,Power Girl,Kara Zor-L,Prime Earth,Robin Nico,,OP,100.0,0.0,0.0
Doomsday vs Plastic Man,https://www.superherodb.com/90-53259/,Doomsday,Doomsday,Prime Earth,Plastic Man,Patrick O'Brian,Prime Earth,100.0,0.0,0.0
Electro vs Havok,https://www.superherodb.com/90-17451/,Electro,Maxwell Dillon,Earth-616,Havok,Alexander Summers,Earth-616,0.0,100.0,0.0
Black Mamba vs Raven,https://www.superherodb.com/90-16807/,Black Mamba,Tanya Sealy,Earth-616,Raven,Rachel Roth,Prime Earth,33.3,66.7,0.0
Spawn (Modern) vs Doomsday,https://www.superherodb.com/90-16331/,Spawn (Modern),Al Simmons,Spawn,Doomsday,Doomsday,Prime Earth,46.2,46.2,7.599999999999994
Cyclops vs Doctor Octopus,https://www.superherodb.com/90-53171/,Cyclops,Scott Summers,Earth-616,Doctor Octopus,Otto Octavius,Earth-616,100.0,0.0,0.0
Kevin Wendell Crumb vs The Overseer,https://www.superherodb.com/90-279527/,Kevin Wendell Crumb,,Unbreakable,The Overseer,David Dunn,Unbreakable,0.0,100.0,0.0
King Kong vs Tanker Bug,https://www.superherodb.com/90-234153/,King Kong,King Kong,,Tanker Bug,,ST,83.3,16.7,0.0
Batman vs Superman,https://www.superherodb.com/90-224455/,Batman,Bruce Wayne,DCEU,Superman,Kal-El,Donnerverse,0.0,100.0,0.0
Robocop vs Mad Max,https://www.superherodb.com/90-201636/,Robocop,Alex Murphy,Robocop,Mad Max,Max Rockatansky,Mad Max,33.3,66.7,0.0
Red Skull vs Chewbacca,https://www.superherodb.com/90-159147/,Red Skull,Johann Shmidt,Earth-616,Chewbacca,,Star Wars,50.0,50.0,0.0
Iron Monger vs Captain Atom,https://www.superherodb.com/90-142987/,Iron Monger,Obadiah Stane,Earth-616,Captain Atom,Nathaniel Adam,Prime Earth,0.0,100.0,0.0
Red Hulk vs Giant-Man,https://www.superherodb.com/90-122104/,Red Hulk,Thaddeus E. Ross,Earth-616,Giant-Man,Hank Pym,Earth-616,100.0,0.0,0.0
Batgirl vs Mystique,https://www.superherodb.com/90-97462/,Batgirl,Barbara Gordon,Prime Earth,Mystique,Raven Darkholme,Earth-616,60.0,40.0,0.0
Predator vs Judge Dredd,https://www.superherodb.com/90-84325/,Predator,Yautja,Alien,Judge Dredd,Joseph Dredd,JD,100.0,0.0,0.0
Harley Quinn vs Spider-Woman III,https://www.superherodb.com/90-74074/,Harley Quinn,Harleen Quinzel,Prime Earth,Spider-Woman III,Martha Franklin,Earth-616,0.0,100.0,0.0
Gorilla Grodd vs Blue Beetle,https://www.superherodb.com/90-71443/,Gorilla Grodd,Grodd,Prime Earth,Blue Beetle,Jaime Reyes,Prime Earth,50.0,50.0,0.0
She-Hulk vs Thundra,https://www.superherodb.com/90-71354/,She-Hulk,Jennifer Walters,Earth-616,Thundra,Thundra,Earth-616,100.0,0.0,0.0
T-850 vs Doctor Octopus,https://www.superherodb.com/90-70876/,T-850,Cyberdyne Systems Series 850 Terminator,Terminator,Doctor Octopus,Otto Octavius,Earth-616,0.0,100.0,0.0
Power Girl vs Jan-Al,https://www.superherodb.com/90-786453/,Power Girl,Kara Zor-L,Prime Earth,Jan-Al,Jan-Al,,50.0,0.0,50.0
Ryu vs Hwoarang,https://www.superherodb.com/90-780814/,Ryu,Ryu,Street Fighter,Hwoarang,,Tekken,0.0,100.0,0.0
Edward Scissorhands vs Lady Deathstrike,https://www.superherodb.com/90-780749/,Edward Scissorhands,Edward,,Lady Deathstrike,Yuriko Oyama,EMCU,0.0,100.0,0.0
Tinkerer vs Doctor Eggman,https://www.superherodb.com/90-780744/,Tinkerer,Phineas Mason,Earth-616,Doctor Eggman,Ivo Robotnik,Sonic,0.0,100.0,0.0
