Battle_title,Battle_url,Sup_1_Character,Sup_1_Name,Sup_1_Universe,Sup_2_Character,Sup_2_Name,Sup_2_Universe,Superhero_1_win,Superhero_2_win,Draw
Thing vs Colossus,https://www.superherodb.com/90-8/,Thing,Ben Grimm,Earth-616,Colossus,Peter Rasputin,Earth-616,44.3,52.9,2.8000000000000114
Rhino vs Luke Cage,https://www.superherodb.com/90-14497/,Rhino,Aleksei Sytsevich,Earth-616,Luke Cage,Luke Cage,Earth-616,50.0,46.2,3.799999999999997
Doctor Strange (Classic) vs Mister Sinister,https://www.superherodb.com/90-37919/,Doctor Strange (Classic),Stephen Strange,Earth-616,Mister Sinister,Nathaniel Essex,Earth-616,89.5,10.5,0.0
Carnage vs Venompool,https://www.superherodb.com/90-83258/,Carnage,Cletus Kasady,Earth-616,Venompool,Wade Wilson,Earth-616,8.1,89.2,2.700000000000003
Electro vs Havok,https://www.superherodb.com/90-17451/,Electro,Maxwell Dillon,Earth-616,Havok,Alexander Summers,Earth-616,0.0,100.0,0.0
Cyclops vs Doctor Octopus,https://www.superherodb.com/90-53171/,Cyclops,Scott Summers,Earth-616,Doctor Octopus,Otto Octavius,Earth-616,100.0,0.0,0.0
Red Hulk vs Giant-Man,https://www.superherodb.com/90-122104/,Red Hulk,Thaddeus E. Ross,Earth-616,Giant-Man,Hank Pym,Earth-616,100.0,0.0,0.0
She-Hulk vs Thundra,https://www.superherodb.com/90-71354/,She-Hulk,Jennifer Walters,Earth-616,Thundra,Thundra,Earth-616,100.0,0.0,0.0
Morbius vs Mister Sinister,https://www.superherodb.com/90-779517/,Morbius,Michael Morbius,Earth-616,Mister Sinister,Nathaniel Essex,Earth-616,0.0,100.0,0.0
Jean Grey vs Ms. America,https://www.superherodb.com/90-762060/,Jean Grey,Jean Grey,Earth-616,Ms. America,America Chavez,Earth-616,100.0,0.0,0.0
Spider-Carnage vs Chasm,https://www.superherodb.com/90-782146/,Spider-Carnage,Benjamin Reilly,Earth-616,Chasm,Benjamin Reilly,Earth-616,100.0,0.0,0.0
