trade_id,stock_symbol,quantity,purchase_price,sale_price,purchase_date,sale_date,profit,transaction_fee,net_profit
1,ODP,3699,832.14,339.21,2/23/2009,2/15/2016,-492.93,85.87,-578.8
2,HDS,9758,572.95,945.94,8/20/2014,9/4/2000,372.99,43.23,329.76
3,JBK,5121,197.9,959.01,11/30/2002,9/3/2006,761.11,79.29,681.82
4,ADSK,9280,808.88,642.9,4/17/2002,3/25/2018,-165.98,2.25,-168.23
5,MOD,603,51.06,0.35,4/18/2010,1/22/2001,-50.71,80.1,-130.81
6,SAUC,1504,12.55,142.11,6/26/2010,12/24/2005,129.56,81.62,47.94
7,TAX,930,510.69,838.55,3/15/2010,11/21/2019,327.86,4.39,323.47
8,WSO.B,6997,889.63,924.24,4/9/2008,2/7/2016,34.61,0.02,34.59
9,NEOG,6634,844.94,566.52,2/5/2009,9/8/2015,-278.42,31.66,-310.08
10,MRDNW,2323,964.78,376.77,1/12/2015,10/30/2013,-588.01,46.15,-634.16
11,PHK,1199,782.58,222.44,6/15/2006,3/7/2021,-560.14,67.93,-628.07
12,SKOR,4886,895.14,774.77,12/7/2000,10/7/2000,-120.37,72.32,-192.69
13,CTSO,4711,358.3,706.2,11/1/2019,4/15/2000,347.9,3.26,344.64
14,ARCW,930,652.18,522.84,8/30/2020,3/3/2015,-129.34,62.08,-191.42
15,MS^E,3665,156.04,924.65,8/21/2006,12/7/2013,768.61,47.24,721.37
16,RXN^A,221,653.53,216.0,5/31/2000,2/21/2013,-437.53,9.84,-447.37
17,CNOB,5418,368.42,951.59,12/21/2003,2/18/2005,583.17,15.65,567.52
18,MVT,6761,584.24,523.52,8/13/2019,3/1/2004,-60.72,15.68,-76.4
19,JBL,9249,641.2,889.87,12/24/2005,6/24/2008,248.67,72.71,175.96
20,AMFW,2966,410.69,949.68,3/20/2007,11/23/2007,538.99,84.04,454.95
21,SIGI,5092,615.28,504.98,2/7/2019,10/21/2014,-110.3,97.73,-208.03
22,PSA^Z,3135,157.75,587.1,1/13/2004,10/20/2007,429.35,54.41,374.94
