trade_id,stock_symbol,itsgood,purchase_price,sale_price
1,GLOG,true,950.26,
2,IRCP,false,,578.42
3,KIM^J,true,497.95,
4,RWT,false,496.96,
5,BLMN,,362.5,870.98
6,ACLS,false,905.51,474.51
7,HMHC,true,970.48,571.57
8,WHLRP,true,368.22,775.02
9,HFC,false,109.17,
10,VBIV,false,425.62,469.24
11,HPJ,,728.4,
12,GBNK,true,375.76,280.93
13,NEOT,true,,13.69
14,H,false,21.51,
15,VNOM,false,616.5,
16,BANC,false,854.86,307.49
17,NTX,false,612.76,
18,GUT^C,true,701.31,
19,FTXO,,289.53,639.67
20,RGSE,false,492.57,806.91
21,AGLE,true,755.54,18.51
22,GWPH,true,351.09,
23,LBTYA,false,432.38,2.67
24,BVN,true,681.27,968.38
25,PGRE,false,943.8,66.25
26,FTXN,true,609.77,478.91
27,RNP,false,847.69,66.5
28,CASH,true,783.81,
29,JOE,false,975.04,
30,CBSHP,false,,
31,HEP,true,965.18,493.54
32,ELEC,false,637.26,182.13
33,HA,true,638.71,288.13
34,NEON,true,,
35,ECT,false,,
36,SIRI,false,,671.7
37,DECK,false,163.28,45.36
38,CMI,true,92.88,933.02
39,FBIZ,true,,729.32
40,AMBA,false,,897.14
41,MCEF,false,268.46,
42,SPR,true,406.28,765.06
43,AMH^B,false,108.83,652.49
44,BOH,true,850.16,
45,URBN,false,393.13,41.5
46,FPH,true,193.69,913.96
47,NSYS,false,341.94,463.8
48,DEX,true,574.46,391.71
49,NID,true,854.42,846.48
50,AAXJ,true,213.97,421.57
51,NBRV,true,704.42,130.17
52,PLBC,false,106.03,176.43
53,TCRX,false,363.18,414.53
54,TS,false,,799.82
55,GPM,true,806.22,901.43
56,FNTEW,true,577.28,
57,ATRS,true,145.43,
58,CRESY,false,82.58,703.87
,MMDM,true,978.29,160.08
60,SCI,true,429.25,
61,HSON,true,94.22,209.18
62,ELSE,true,669.54,4.18
63,LNN,false,733.5,
64,CR,true,41.68,648.31
65,MCHP,false,330.37,285.02
66,GLBR,false,202.64,
67,DMO,true,351.3,653.07
68,GRFS,false,,128.21
69,SMBC,true,,344.91
70,ESGR,false,156.58,753.82
71,IID,true,962.49,748.32
72,NEE^R,false,128.13,332.5
73,RXII,false,576.51,323.49
74,ASIX,true,868.22,
75,TEL,false,282.23,390.91
76,WPCS,false,393.97,
77,ENB,true,333.64,297.35
78,MFO,false,921.04,265.09
79,,false,,414.97
,CLNS^G,true,716.86,374.6
81,ICE,true,66.96,
82,CRTO,false,918.12,
83,TCX,true,721.92,
84,AM,false,470.34,940.37
85,LFGR,true,948.95,149.15
86,GRPN,true,572.77,696.4
87,CBB,false,252.9,445.55
88,LOPE,true,902.53,688.32
89,XONE,false,574.92,688.34
90,,false,190.03,
91,MICTW,true,0.23,619.44
92,GEK,false,290.61,480.72
93,BAC^I,false,93.41,601.2
94,PSB^W,true,993.01,97.18
95,EVBS,false,598.16,
96,MCRB,false,310.04,
97,AVK,true,151.58,257.54
98,TWO,true,953.58,163.42
99,DDT,true,,733.8
100,RBS^H,false,136.75,781.31
101,GF,true,848.33,845.52
102,OFC,true,111.86,818.8
103,ASET,false,428.14,961.78
104,STAR          ,true,781.59,682.29
105,ADRU,false,,705.35
106,DTQ,true,,
107,ETY,false,163.91,119.14
108,ZAYO,false,469.81,720.43
109,QQQ,false,,
110,FNCX,true,908.86,
111,WAAS,true,487.76,495.19
112,SBLK,false,,217.54
113,JBN,false,264.36,81.61
114,TTWO,false,958.18,
115,FHN^A,false,745.5,833.08
116,AI,true,999.84,114.0
117,NNA,true,983.73,537.18
118,,false,770.55,138.36
119,ETV,true,536.98,725.4
120,CAKE,false,769.68,965.65
121,VCIT,true,647.0,
122,FPXI,true,921.58,39.31
123,CSX,false,597.01,
124,WIT,true,448.56,635.52
125,NUTR,false,779.48,509.24
,SBGL,false,477.67,874.65
127,CHNR,false,318.12,
128,NETE,false,188.38,723.88
129,JCI,false,,
130,BDC,true,,457.34
,ZTS,true,479.5,740.83
132,GNMK,true,867.01,
133,CHH,true,,
134,CMTL,false,223.04,
135,SSNI,false,552.63,
136,MNKD,true,814.3,894.32
137,MFNC,false,741.59,
138,PPBI,true,432.25,
139,TXT,,470.52,
140,BELFB,false,,142.06
141,SNHNL,false,711.68,
142,FNTEW,true,,228.82
143,RFIL,false,830.15,416.75
144,FMO,,850.09,581.83
145,,false,148.83,906.75
146,GS^A,true,612.2,108.51
147,KF,true,860.72,795.38
148,NVUS,false,,
149,RXDX,true,873.41,576.16
150,LANC,true,384.34,393.77
151,BLX,true,761.51,412.76
152,HTBX,true,148.18,188.42
153,STI.WS.A,true,997.83,144.61
154,BNTCW,false,570.66,582.77
155,BIB,false,,
156,ESNT,false,,
157,JJSF,false,615.37,
158,GJO,true,62.88,461.94
159,VXUS,true,580.44,306.6
160,LEA,false,587.95,
161,DTE,true,879.5,57.42
162,AXSM,false,505.08,
163,GLBL,false,636.05,41.93
164,PSDV,true,533.71,651.24
165,CTBB,false,,
166,TTEK,false,821.1,21.63
167,STC,true,395.47,283.25
168,SNDE,false,186.85,646.8
169,TRV,false,,862.32
,CTIB,true,,237.73
171,COBZ,false,506.62,587.92
172,VIIZ,true,27.43,133.6
173,SPLK,false,148.04,901.63
174,CMP,false,182.62,351.98
175,,false,200.78,438.39
176,CNI,false,,460.21
177,FFG,false,235.33,
178,IRIX,false,,424.03
179,FV,false,69.05,895.22
180,MACQU,false,293.06,
181,CREE,true,803.97,
182,MDWD,false,218.52,988.8
183,NCSM,false,130.58,
184,BAH,true,804.95,91.16
185,MASI,,790.65,151.27
186,COF^P,false,375.09,
187,CBB,true,834.55,569.79
188,ORPN,false,716.42,
189,EA,true,608.72,454.59
190,LPL,true,445.16,44.84
191,JFR,true,8.97,410.59
192,WBMD,false,118.12,425.91
193,GS^B,true,482.5,
194,NOW,true,990.73,
195,MLHR,false,799.94,967.0
196,BBOX,false,47.52,
197,SBOW,true,472.29,501.65
198,MED,false,717.11,71.44
199,MAA^I,false,263.65,587.75
200,COBZ,false,585.61,294.53
201,IVZ,false,645.42,413.26
202,UBS,true,384.49,690.7
203,BML^H,false,971.94,450.57
204,TOO,,225.86,
205,HYGS,,424.66,301.74
206,VVV,true,576.72,440.74
207,FMBI,false,250.2,
208,SKLN,true,7.08,136.06
209,BWINB,false,82.63,402.82
210,CX,false,543.23,
211,PHD,false,954.96,
212,OPGNW,true,571.12,
213,O,true,622.33,67.41
214,COMT,false,490.36,892.01
215,UDR,true,80.8,159.66
216,,true,732.31,
217,ECOM          ,false,,175.7
218,FTFT,true,118.99,
219,EXEL,true,485.55,145.73
,XOM,true,681.09,934.53
221,VNDA,false,367.78,634.79
222,GFN,false,470.73,
223,CBI,true,931.89,
224,AMCN,true,,391.67
225,DLNG^A,false,638.04,806.9
226,,false,389.49,
227,HHC,false,,412.93
228,SLNO,true,857.65,199.77
229,,true,957.11,653.21
230,WIFI,false,,540.47
231,FDUS,true,233.36,
232,OMAM,false,486.03,965.64
233,ABIO,false,127.7,
234,TVTY,false,713.68,602.82
235,CASY,false,285.7,843.99
236,PHMD,true,852.32,
237,SMCI,true,128.41,234.5
238,AVHI,true,238.07,
239,ETP,true,172.05,
240,PGR,true,606.15,136.23
241,CVV,false,507.77,204.33
242,LALT,true,338.63,420.17
243,BEAT,true,107.96,
244,MIXT,true,394.3,87.57
245,AMED,false,10.77,298.61
246,MXIM,true,985.75,26.15
247,LFC,true,282.61,985.74
248,TEVA,false,110.48,
249,CDXS,true,976.63,434.9
250,OFIX,false,,
251,LHCG,true,605.14,990.88
,GIFI,true,,313.75
253,ANW,true,416.19,649.09
254,IFGL,false,468.78,
255,EMO,true,,792.46
256,LBRDA,true,981.94,597.16
257,PSEC,false,10.29,309.76
